Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,106,1412.2612954170204
FAIL,Trace 1,148,144.41970877906064
FAIL,Trace 1,82,74.79794340511646
FAIL,Trace 1,166,55.26595375647844
SUCCESS,Trace 1,94,175.35690297957558
FAIL,Trace 1,94,1400.5432330905444
SUCCESS,Trace 1,100,157.0571426848198
FAIL,Trace 1,184,116.39415886651105
FAIL,Trace 1,302,-65.78661025110449
FAIL,Trace 1,106,1428.4508504718885
FAIL,Trace 1,292,5.22736734449694
SUCCESS,Trace 1,76,162.7136612259891
SUCCESS,Trace 1,154,177.1568596692482
SUCCESS,Trace 1,118,151.85456721457956
FAIL,Trace 1,130,147.39464548037367
SUCCESS,Trace 1,106,172.83585394836902
SUCCESS,Trace 1,118,187.2443869733426
FAIL,Trace 1,94,84.02826904332234
FAIL,Trace 1,226,12.411605904716751
SUCCESS,Trace 1,106,153.01995567571197
FAIL,Trace 1,94,1373.022574991842
FAIL,Trace 1,94,120.97869345177311
FAIL,Trace 1,226,39.395363766904595
FAIL,Trace 1,82,123.67988941371924
FAIL,Trace 1,202,127.36901737161092
FAIL,Trace 1,280,35.48203370088014
FAIL,Trace 1,82,1380.9423289542804
FAIL,Trace 1,118,24.06788192651024
FAIL,Trace 1,94,102.83244137946984
SUCCESS,Trace 1,112,155.48513772021673
FAIL,Trace 1,298,5.909961127658633
SUCCESS,Trace 1,106,168.42881103218625
FAIL,Trace 1,94,1391.0339611158124
SUCCESS,Trace 1,94,150.52925533245673
SUCCESS,Trace 1,94,180.27448028712655
FAIL,Trace 1,94,130.62554378691618
SUCCESS,Trace 1,118,159.9633663144429
FAIL,Trace 1,94,1387.6587431143105
FAIL,Trace 1,82,1390.1832644415574
FAIL,Trace 1,94,1393.3929165550408
FAIL,Trace 1,82,1389.1681129264057
FAIL,Trace 1,94,1379.0797271096903
FAIL,Trace 1,94,1389.1404950105195
FAIL,Trace 1,178,143.18877978960762
SUCCESS,Trace 1,94,186.8093476525164
FAIL,Trace 1,220,18.91079972602472
SUCCESS,Trace 1,202,187.15474104713655
FAIL,Trace 1,262,44.18229384908443
FAIL,Trace 1,238,27.719759516851425
FAIL,Trace 1,166,51.614016987376715
FAIL,Trace 1,94,1375.9846322055052
SUCCESS,Trace 1,94,176.72419318430832
FAIL,Trace 1,178,141.06866530279135
FAIL,Trace 1,196,11.974314247105028
SUCCESS,Trace 1,106,185.21941638108143
SUCCESS,Trace 1,94,152.6500317197
FAIL,Trace 1,70,94.16764790427732
SUCCESS,Trace 1,154,163.86534102801642
FAIL,Trace 1,106,141.20381103218622
FAIL,Trace 1,70,131.35023618478107
SUCCESS,Trace 1,70,153.6231246427892
FAIL,Trace 1,94,144.3762418265176
SUCCESS,Trace 1,94,161.28252242611995
FAIL,Trace 1,274,38.88201650360374
FAIL,Trace 1,106,1378.3002805588087
FAIL,Trace 1,142,1380.4108948811368
FAIL,Trace 1,148,119.10241267022492
FAIL,Trace 1,118,1399.8207395181469
FAIL,Trace 1,196,97.2079574209637
FAIL,Trace 1,166,123.25910727215113
FAIL,Trace 1,106,1406.3050663963313
FAIL,Trace 1,268,27.298433152195813
FAIL,Trace 1,184,53.30711703995095
SUCCESS,Trace 1,94,150.73180525781845
FAIL,Trace 1,298,49.86387530210132
FAIL,Trace 1,82,138.34605482725308
FAIL,Trace 1,118,1393.0029465710788
SUCCESS,Trace 1,94,167.66200919260294
SUCCESS,Trace 1,88,168.43286297804917
FAIL,Trace 1,214,110.09232016660565
FAIL,Trace 1,94,141.5551432909966
SUCCESS,Trace 1,106,167.52891710367206
FAIL,Trace 1,202,-5.544648143170406
FAIL,Trace 1,94,1385.1281820087493
FAIL,Trace 1,58,93.34474257249686
FAIL,Trace 1,302,-82.45432386488747
SUCCESS,Trace 1,88,162.79004492493468
FAIL,Trace 1,298,10.010181822713335
FAIL,Trace 1,202,95.38426058600433
FAIL,Trace 1,82,1382.9129985994396
FAIL,Trace 1,302,-11.687413666646606
FAIL,Trace 1,94,146.84489753707936
FAIL,Trace 1,94,1394.2153803231568
SUCCESS,Trace 1,142,155.00299811640676
FAIL,Trace 1,82,148.31410035583647
FAIL,Trace 1,178,56.380309913047995
SUCCESS,Trace 1,154,163.01556120792208
FAIL,Trace 1,280,-12.271881295935906
FAIL,Trace 1,142,1384.0278799872706
FAIL,Trace 1,76,142.97574470151787
FAIL,Trace 1,130,1378.0844450271156
FAIL,Trace 1,106,1427.5277344182502
FAIL,Trace 1,94,1402.4030530061339
SUCCESS,Trace 1,94,175.4120395412601
FAIL,Trace 1,130,144.62777789708178
SUCCESS,Trace 1,226,163.1264071396244
FAIL,Trace 1,82,113.17327389803059
FAIL,Trace 1,106,1387.1782084811996
SUCCESS,Trace 1,118,174.38819121863057
FAIL,Trace 1,302,-11.019715942532258
FAIL,Trace 1,94,1391.6203068198352
SUCCESS,Trace 1,82,157.13436321029883
SUCCESS,Trace 1,94,163.59270852460543
FAIL,Trace 1,142,145.54139033448084
FAIL,Trace 1,76,142.6348356106088
SUCCESS,Trace 1,106,172.1586803492727
FAIL,Trace 1,178,138.16482069647608
SUCCESS,Trace 1,94,169.91632518337335
SUCCESS,Trace 1,82,157.33518265797983
FAIL,Trace 1,244,55.83642050957761
SUCCESS,Trace 1,94,169.47348573508913
SUCCESS,Trace 1,82,169.7561861019252
FAIL,Trace 1,94,1390.2220784061205
FAIL,Trace 1,262,73.6407618289153
SUCCESS,Trace 1,118,167.10570126565023
FAIL,Trace 1,94,1401.240907509149
FAIL,Trace 1,178,130.08870481944038
FAIL,Trace 1,190,129.33930601973185
FAIL,Trace 1,118,131.3021158648814
SUCCESS,Trace 1,94,175.50270825105252
SUCCESS,Trace 1,106,151.38038618648966
FAIL,Trace 1,94,102.68918163677402
FAIL,Trace 1,94,1401.6800564904545
FAIL,Trace 1,82,149.68176849492528
FAIL,Trace 1,214,-16.27984839337621
FAIL,Trace 1,178,126.80612015566724
FAIL,Trace 1,118,1396.4958899154333
FAIL,Trace 1,70,120.10031551062812
SUCCESS,Trace 1,112,156.56704689076554
SUCCESS,Trace 1,94,152.61510227521745
FAIL,Trace 1,106,1401.53895028761
SUCCESS,Trace 1,100,178.2309306212774
SUCCESS,Trace 1,130,164.10686804158803
FAIL,Trace 1,106,1375.2467156931498
FAIL,Trace 1,214,101.23281807723924
FAIL,Trace 1,94,1378.649230369933
FAIL,Trace 1,94,1382.494878624842
FAIL,Trace 1,268,47.00059662601514
FAIL,Trace 1,118,1450.468971105814
FAIL,Trace 1,142,1379.5212877201511
FAIL,Trace 1,94,1385.3562339816933
SUCCESS,Trace 1,118,155.1812317250253
SUCCESS,Trace 1,106,156.39547943773158
FAIL,Trace 1,130,1421.2401917922843
SUCCESS,Trace 1,94,176.87406563328793
FAIL,Trace 1,302,15.084377150644386
FAIL,Trace 1,106,1392.6370950984258
SUCCESS,Trace 1,82,158.45384152723324
FAIL,Trace 1,70,53.97984103682077
FAIL,Trace 1,94,1400.742930122981
FAIL,Trace 1,286,63.53242067529999
FAIL,Trace 1,106,1407.0646817809468
FAIL,Trace 1,118,1415.633624546129
SUCCESS,Trace 1,118,152.4295176172678
FAIL,Trace 1,10,37.5
SUCCESS,Trace 1,106,161.86603964703644
SUCCESS,Trace 1,94,177.86960332262308
SUCCESS,Trace 1,106,163.50342057446778
SUCCESS,Trace 1,142,177.23423311196765
SUCCESS,Trace 1,82,152.6542485757177
SUCCESS,Trace 1,88,155.17977956232318
FAIL,Trace 1,148,111.37585873136727
SUCCESS,Trace 1,118,165.67361511046514
FAIL,Trace 1,178,112.83972638250509
SUCCESS,Trace 1,94,154.42953287742623
FAIL,Trace 1,94,142.28837648733787
FAIL,Trace 1,202,114.78875316031206
SUCCESS,Trace 1,142,183.58402041226157
FAIL,Trace 1,94,146.86568263406562
FAIL,Trace 1,106,1397.427385656282
FAIL,Trace 1,196,139.41420875143763
FAIL,Trace 1,154,113.4775444510323
FAIL,Trace 1,292,-48.20760513058092
SUCCESS,Trace 1,94,156.70155810059043
FAIL,Trace 1,208,33.734637698026404
FAIL,Trace 1,166,128.22398789601274
SUCCESS,Trace 1,100,161.96448717568845
FAIL,Trace 1,136,129.04546014591207
