Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,82,172.94626143267138
FAIL,Trace 1,118,142.45878922148955
FAIL,Trace 1,130,1369.3216958637515
FAIL,Trace 1,88,158.30129169686492
FAIL,Trace 1,118,158.221589658294
FAIL,Trace 1,292,-34.59071764030925
FAIL,Trace 1,106,119.31457766396075
FAIL,Trace 1,94,132.89784741991593
FAIL,Trace 1,130,153.9444295359509
FAIL,Trace 1,94,1419.933209780521
FAIL,Trace 1,106,1403.0136146081993
FAIL,Trace 1,106,146.20645199168578
FAIL,Trace 1,178,-1142.3678256708115
FAIL,Trace 1,118,150.99696011822547
FAIL,Trace 1,106,146.7053337164636
FAIL,Trace 1,286,123.54495271192766
FAIL,Trace 1,94,1410.8809507991923
FAIL,Trace 1,94,138.60056406431355
FAIL,Trace 1,82,166.11020679210367
FAIL,Trace 1,82,118.51608185169069
FAIL,Trace 1,94,1392.6988552069665
FAIL,Trace 1,118,1375.3763846916102
FAIL,Trace 1,130,1395.3439920209933
FAIL,Trace 1,106,192.01394276415996
FAIL,Trace 1,190,95.4818492057372
FAIL,Trace 1,118,1381.7497690471255
FAIL,Trace 1,88,159.26745441075715
FAIL,Trace 1,208,29.28235147909146
FAIL,Trace 1,94,177.86960332262308
FAIL,Trace 1,58,87.44995134217348
FAIL,Trace 1,142,140.53185768251285
FAIL,Trace 1,202,-31.65482061407951
FAIL,Trace 1,82,130.80731671759597
FAIL,Trace 1,184,164.6595276557622
FAIL,Trace 1,118,201.35879636901203
FAIL,Trace 1,82,159.9097597330428
FAIL,Trace 1,298,69.063098160653
FAIL,Trace 1,94,123.71186532458925
FAIL,Trace 1,88,139.74096392664558
FAIL,Trace 1,82,122.0122364261325
FAIL,Trace 1,76,-1089.7351406944695
FAIL,Trace 1,178,107.13606711152478
FAIL,Trace 1,94,1380.6769187846953
FAIL,Trace 1,94,171.25310786734286
FAIL,Trace 1,292,-5.210816328754305
FAIL,Trace 1,94,1374.4920702998468
FAIL,Trace 1,106,1411.9992055904706
FAIL,Trace 1,190,88.7033810603291
FAIL,Trace 1,298,-11.843555531293163
FAIL,Trace 1,82,135.64328100872052
FAIL,Trace 1,94,158.42294588524737
FAIL,Trace 1,70,97.2777665158441
FAIL,Trace 1,94,147.37342617892637
FAIL,Trace 1,166,127.71781805688435
FAIL,Trace 1,214,13.834903217308096
FAIL,Trace 1,130,1395.655912715441
FAIL,Trace 1,208,6.6038440711397115
FAIL,Trace 1,94,183.09197479482293
FAIL,Trace 1,94,175.07263896250444
FAIL,Trace 1,298,-43.53631925187559
FAIL,Trace 1,106,1384.016972120563
FAIL,Trace 1,94,158.42294588524737
FAIL,Trace 1,238,178.04005610073156
FAIL,Trace 1,106,171.41655384807714
FAIL,Trace 1,94,1379.4493665685739
FAIL,Trace 1,106,196.87014849904017
FAIL,Trace 1,118,1371.4227110174359
FAIL,Trace 1,130,61.20256106215549
FAIL,Trace 1,118,1408.095136108077
FAIL,Trace 1,220,-1.4285264710930576
FAIL,Trace 1,118,1390.7030662811412
FAIL,Trace 1,106,183.1040595658087
FAIL,Trace 1,226,1380.576953251259
FAIL,Trace 1,118,169.29314372477938
FAIL,Trace 1,94,1376.8052857362147
FAIL,Trace 1,106,135.5955731873131
FAIL,Trace 1,94,1412.2665819670412
FAIL,Trace 1,118,163.7279922406058
FAIL,Trace 1,82,55.47726225114941
FAIL,Trace 1,106,182.59112364866792
FAIL,Trace 1,94,1388.9863659376638
FAIL,Trace 1,82,146.94736177309477
FAIL,Trace 1,106,175.89818967940545
FAIL,Trace 1,256,20.423031308369424
FAIL,Trace 1,268,23.20793342861421
FAIL,Trace 1,130,146.37434795868384
FAIL,Trace 1,100,-1128.843813980258
FAIL,Trace 1,82,145.00894672491273
FAIL,Trace 1,118,1399.5264204692019
FAIL,Trace 1,178,54.79168155093791
FAIL,Trace 1,118,1429.3063151206893
FAIL,Trace 1,202,20.062123874691004
FAIL,Trace 1,70,123.75507606487815
FAIL,Trace 1,118,1455.5645463071103
FAIL,Trace 1,82,177.0468238076845
FAIL,Trace 1,172,162.38756224479326
FAIL,Trace 1,118,1412.5611833465161
FAIL,Trace 1,106,158.74661728435098
FAIL,Trace 1,82,151.45920179336645
FAIL,Trace 1,118,126.39519618902439
FAIL,Trace 1,94,1374.6623360805777
FAIL,Trace 1,112,161.73102109592486
FAIL,Trace 1,82,161.1005957312433
FAIL,Trace 1,106,1402.9303728499576
FAIL,Trace 1,94,1375.7159477635328
FAIL,Trace 1,88,157.31216053390543
FAIL,Trace 1,106,1401.0375202315884
FAIL,Trace 1,82,163.9676981387127
FAIL,Trace 1,118,167.2730930644303
FAIL,Trace 1,130,139.86572384371775
FAIL,Trace 1,118,161.88771066413005
FAIL,Trace 1,94,146.6456893517809
FAIL,Trace 1,256,45.07638429382109
FAIL,Trace 1,130,166.598916233503
FAIL,Trace 1,142,128.20136856157714
FAIL,Trace 1,70,53.97984103682077
FAIL,Trace 1,94,1401.853959664823
FAIL,Trace 1,118,1401.419692954838
FAIL,Trace 1,106,1400.5499593926415
FAIL,Trace 1,214,1.1192495206982187
FAIL,Trace 1,232,-10.708332696436429
FAIL,Trace 1,94,152.29258529538222
FAIL,Trace 1,118,1420.1006354818928
FAIL,Trace 1,220,155.3092575379769
FAIL,Trace 1,250,81.88634831473935
FAIL,Trace 1,106,188.38597158390203
FAIL,Trace 1,172,48.543945957770575
FAIL,Trace 1,94,157.005780540309
FAIL,Trace 1,106,187.7129671692493
FAIL,Trace 1,136,121.32661165626382
FAIL,Trace 1,94,174.53890371492702
FAIL,Trace 1,202,37.15731913456639
FAIL,Trace 1,286,39.56944053743919
FAIL,Trace 1,94,200.67843738333937
FAIL,Trace 1,166,1361.2322847847367
FAIL,Trace 1,244,49.280822539351476
FAIL,Trace 1,124,164.1940277494377
FAIL,Trace 1,88,-1088.2776552099301
FAIL,Trace 1,268,51.99411107164606
FAIL,Trace 1,286,62.344851395698655
FAIL,Trace 1,118,143.83449057361207
FAIL,Trace 1,172,101.0323828338102
FAIL,Trace 1,76,169.06897428309424
FAIL,Trace 1,130,146.84845953989398
FAIL,Trace 1,226,38.30218011366945
FAIL,Trace 1,178,9.83389423474513
FAIL,Trace 1,106,163.49120472164572
FAIL,Trace 1,106,1445.7052492584303
FAIL,Trace 1,94,156.28819997205676
FAIL,Trace 1,130,168.70202139194444
FAIL,Trace 1,94,1384.907543594668
FAIL,Trace 1,196,-1.8943498205519163
FAIL,Trace 1,130,1384.558656867619
FAIL,Trace 1,94,160.8647790774154
FAIL,Trace 1,88,-1121.9955389576198
FAIL,Trace 1,166,77.52573974436937
FAIL,Trace 1,274,105.84612874685112
FAIL,Trace 1,94,109.86926969254534
FAIL,Trace 1,130,149.62696287991074
FAIL,Trace 1,94,151.1006564521888
FAIL,Trace 1,94,142.0496585070279
FAIL,Trace 1,130,184.35387999013318
FAIL,Trace 1,118,143.7221251643278
FAIL,Trace 1,94,137.17442657057478
FAIL,Trace 1,94,1386.3732462926905
FAIL,Trace 1,142,161.50196369143356
FAIL,Trace 1,118,157.47641558384265
FAIL,Trace 1,130,230.83711307787877
FAIL,Trace 1,106,158.233826008638
FAIL,Trace 1,94,183.43355950308404
FAIL,Trace 1,190,74.35453763473564
FAIL,Trace 1,106,156.7160223645569
FAIL,Trace 1,82,1394.0301545430261
FAIL,Trace 1,202,1338.060254472037
FAIL,Trace 1,106,153.47294367264374
FAIL,Trace 1,106,167.99182529898363
FAIL,Trace 1,118,177.88759795826076
FAIL,Trace 1,130,1401.380969465896
FAIL,Trace 1,118,1396.2734752614488
FAIL,Trace 1,196,12.694803487978099
FAIL,Trace 1,94,1402.3117054266247
FAIL,Trace 1,82,146.29016398205692
FAIL,Trace 1,292,21.800055261224827
FAIL,Trace 1,82,138.1334373710102
FAIL,Trace 1,76,163.7568036638584
FAIL,Trace 1,118,181.95672088020993
FAIL,Trace 1,202,6.582565076517376
FAIL,Trace 1,106,165.44452502833502
FAIL,Trace 1,94,1429.9984111388394
FAIL,Trace 1,298,-56.78535345501541
FAIL,Trace 1,304,100.39526638150846
FAIL,Trace 1,130,1393.5761725312939
FAIL,Trace 1,280,32.83451679543133
FAIL,Trace 1,142,1395.3464109131432
FAIL,Trace 1,142,173.23046834582533
FAIL,Trace 1,160,114.05617283594752
FAIL,Trace 1,130,1390.911744694905
FAIL,Trace 1,82,151.04452487884072
FAIL,Trace 1,142,137.98419426666544
FAIL,Trace 1,106,1426.559064267263
FAIL,Trace 1,106,152.89728976600594
FAIL,Trace 1,118,1414.1976665117138
FAIL,Trace 1,94,1391.0397088655031
FAIL,Trace 1,82,162.92136748498476
FAIL,Trace 1,94,169.15676485036235
FAIL,Trace 1,142,1366.708385542424
FAIL,Trace 1,94,1405.8335404034494
FAIL,Trace 1,118,1386.0206011782625
FAIL,Trace 1,106,1389.7152978985841
FAIL,Trace 1,118,164.8994978849414
FAIL,Trace 1,166,149.90247285111633
FAIL,Trace 1,136,166.2937609388798
FAIL,Trace 1,106,148.67295792014707
FAIL,Trace 1,94,1375.5281820087494
FAIL,Trace 1,106,155.0059303414484
FAIL,Trace 1,118,162.30774091982687
FAIL,Trace 1,94,1395.2647170329585
FAIL,Trace 1,274,17.58293342861421
FAIL,Trace 1,166,199.4374319422644
FAIL,Trace 1,106,162.16467293809023
FAIL,Trace 1,142,1402.8934300646656
FAIL,Trace 1,118,154.6169312674552
FAIL,Trace 1,82,133.19977998164586
FAIL,Trace 1,94,162.6003770873245
FAIL,Trace 1,100,175.3544017342567
FAIL,Trace 1,184,68.33834151224475
FAIL,Trace 1,142,-1125.4281703098095
